source_kind,osm_pattern,cities,city_count,occurrence_count,city_occurrence_counts,recovery_total,recovery_recovered,recovery_rate,min_city_recovery_rate,observed_cities,audited_city_coverage,city_recovery_rates,train_data_admission,admission_reason,scenarionet_feature_type,mapping_status,admission_decision,degrade_strategy,parser_action,requires_explicit_osm_structure,notes
tag,node:name=E_0,Changchun;Tianjin;Xi_an,3,3,Changchun:1;Tianjin:1;Xi_an:1,0,0,,,,0.0,,exclude,No final ScenarioNet map feature mapping is defined for this pattern.,,unmapped,exclude,omit feature and continue,ignore_unmapped_tag,,Observed during audit but not admitted into the final training map feature set.
tag,node:name=E_1,Changchun;Tianjin;Xi_an,3,3,Changchun:1;Tianjin:1;Xi_an:1,0,0,,,,0.0,,exclude,No final ScenarioNet map feature mapping is defined for this pattern.,,unmapped,exclude,omit feature and continue,ignore_unmapped_tag,,Observed during audit but not admitted into the final training map feature set.
tag,node:name=E_2,Changchun;Tianjin;Xi_an,3,3,Changchun:1;Tianjin:1;Xi_an:1,0,0,,,,0.0,,exclude,No final ScenarioNet map feature mapping is defined for this pattern.,,unmapped,exclude,omit feature and continue,ignore_unmapped_tag,,Observed during audit but not admitted into the final training map feature set.
tag,node:name=E_3,Changchun;Tianjin;Xi_an,3,3,Changchun:1;Tianjin:1;Xi_an:1,0,0,,,,0.0,,exclude,No final ScenarioNet map feature mapping is defined for this pattern.,,unmapped,exclude,omit feature and continue,ignore_unmapped_tag,,Observed during audit but not admitted into the final training map feature set.
tag,node:name=E_4,Changchun;Tianjin;Xi_an,3,3,Changchun:1;Tianjin:1;Xi_an:1,0,0,,,,0.0,,exclude,No final ScenarioNet map feature mapping is defined for this pattern.,,unmapped,exclude,omit feature and continue,ignore_unmapped_tag,,Observed during audit but not admitted into the final training map feature set.
tag,node:name=E_5,Tianjin;Xi_an,2,2,Tianjin:1;Xi_an:1,0,0,,,,0.0,,exclude,No final ScenarioNet map feature mapping is defined for this pattern.,,unmapped,exclude,omit feature and continue,ignore_unmapped_tag,,Observed during audit but not admitted into the final training map feature set.
tag,node:name=E_6,Tianjin;Xi_an,2,2,Tianjin:1;Xi_an:1,0,0,,,,0.0,,exclude,No final ScenarioNet map feature mapping is defined for this pattern.,,unmapped,exclude,omit feature and continue,ignore_unmapped_tag,,Observed during audit but not admitted into the final training map feature set.
tag,node:name=N_0,Changchun;Tianjin;Xi_an,3,3,Changchun:1;Tianjin:1;Xi_an:1,0,0,,,,0.0,,exclude,No final ScenarioNet map feature mapping is defined for this pattern.,,unmapped,exclude,omit feature and continue,ignore_unmapped_tag,,Observed during audit but not admitted into the final training map feature set.
tag,node:name=N_1,Changchun;Tianjin;Xi_an,3,3,Changchun:1;Tianjin:1;Xi_an:1,0,0,,,,0.0,,exclude,No final ScenarioNet map feature mapping is defined for this pattern.,,unmapped,exclude,omit feature and continue,ignore_unmapped_tag,,Observed during audit but not admitted into the final training map feature set.
tag,node:name=N_10,Xi_an,1,1,Xi_an:1,0,0,,,,0.0,,exclude,No final ScenarioNet map feature mapping is defined for this pattern.,,unmapped,exclude,omit feature and continue,ignore_unmapped_tag,,Observed during audit but not admitted into the final training map feature set.
tag,node:name=N_2,Changchun;Tianjin;Xi_an,3,3,Changchun:1;Tianjin:1;Xi_an:1,0,0,,,,0.0,,exclude,No final ScenarioNet map feature mapping is defined for this pattern.,,unmapped,exclude,omit feature and continue,ignore_unmapped_tag,,Observed during audit but not admitted into the final training map feature set.
